Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFTB;AD;Marignane Hydrosurface (13);132.95 Prov;1;43.45;5.21667;
LF;LFDM;AD;Marmande Virazeil (42);120.05;110;44.4992;0.200278;
LF;LFML;AD;Marseille Provence (13);133.1;70;43.4367;5.215;
LF;LFQJ;AD;Maubeuge Elesmes (59);121.0;452;50.3083;4.03;
LF;LFJB;AD;Mauléon (79);123.5;568;46.9031;-0.6975;
LF;LFPE;AD;Meaux Esbly (77);120.15;220;48.9269;2.83389;
LF;LFPM;AD;Melun Villaroche (77);121.1;304;48.6053;2.67083;
LF;LFNB;AD;Mende Brenoux (48);119.6;3362;44.5042;3.5275;
LF;LFQT;AD;Merville Calonne (59);119.075;61;50.6167;2.64;
LF;LFSF;AD;Metz Frescaty (57);119.3;629;49.0764;6.13389;
LF;LFJL;AD;Metz Nancy Lorraine (57);118.2;870;48.9783;6.24667;
LF;LFCM;AD;Millau Larzac (12);120.8;2606;43.9892;3.18333;
LF;LFCZ;AD;Mimizan (40);118.9;165;44.1458;-1.16472;
LF;LFVM;AD;Miquelon;119.1;10;47.0958;-56.3844;
LF;LFNC;AD;Mont Dauphin Saint Crépin (05);123.5;2963;44.7006;6.59917;
LF;LFBM;AD;Mont de Marsan (40);142.75;203;43.9117;-0.507222;
LF;LFFW;AD;Montaigu Saint Georges (85);123.5;186;46.9322;-1.32722;
LF;LFEM;AD;Montargis Vimory (45);123.5;308;47.9606;2.68583;
LF;LFDB;AD;Montauban (82);120.6;353;44.0267;1.37694;
LF;LFSM;AD;Montbéliard Courcelles (25);132.025;1041;47.4867;6.79139;
LF;LFGM;AD;Montceau les Mines Pouilloux (71);123.5;1032;46.6033;4.33278;
LF;LFLQ;AD;Montélimar Ancône (26);123.5;241;44.5803;4.73917;
LF;LFDC;AD;Montendre Marcillac (33);123.5;145;45.2736;-0.453333;
LF;LFBK;AD;Montluçon Gueret (23);118.4;1367;46.2261;2.36278;
LF;LFNG;AD;Montpellier Candillargues (34);120.6;5;43.6103;4.07028;
LF;LFMT;AD;Montpellier Méditerranée (34);118.775;17;43.5833;3.96139;
LF;LFHI;AD;Morestel (38);123.5;803;45.6869;5.4525;
LF;LFPU;AD;Moret Episy (77);123.5;253;48.3417;2.79917;
LF;LFRU;AD;Morlaix Ploujean (29);118.5;277;48.6008;-3.81667;
LF;LFAX;AD;Mortagne au Perche (61);123.5;885;48.5397;0.534167;
LF;LFHY;AD;Moulins Montbeugny (03);125.2;915;46.5344;3.42167;
LF;LFGB;AD;Mulhouse Habsheim (68);125.25;789;47.7364;7.43028;
LF;LFBR;AD;Muret Lherm (31);123.2;623;43.4492;1.26361;
LF;LFSN;AD;Nancy Essey (54);119.6;751;48.6922;6.22611;
LF;LFSO;AD;Nancy Ochey (54);127.25;1106;48.5833;5.95444;
LF;LFAI;AD;Nangis les Loges (77);127.975;428;48.5969;3.00806;
LF;LFRS;AD;Nantes Atlantique (44);118.65;90;47.1569;-1.60778;
LF;LFFT;AD;Neufchâteau (88);123.5;1228;48.3617;5.72028;
LF;LFQG;AD;Nevers Fourchambault (58);120.6;602;47.0036;3.11083;
LF;LFMN;AD;Nice Côte d'Azur (06);118.7;12;43.6653;7.215;
